no,nim,kdjur,nmjur,nem,sks,status,ipk,kdsla,nmsla
1,2.09E+12,71,PENDIDIKAN DOKTER,40.7,2,0,3.19,31851007,"SMA Stella Duce 1, Yogyakarta"
2,2.09E+12,71,PENDIDIKAN DOKTER,48.95,2,0,3.3,27310001,"SMAN 1, Ambon"
3,2.09E+12,71,PENDIDIKAN DOKTER,49,2,0,3.23,31853015,"SMA Citischool (Satria Wacana), Semarang"
4,2.09E+12,71,PENDIDIKAN DOKTER,49.75,2,0,3.4,31875002,"SMAN 1, Samarinda"
6,2.09E+12,71,PENDIDIKAN DOKTER,44.35,3,0,3.3,31843008,"SMA Kristen Bina Bakti 2, Bandung"
8,1.50E+12,51,ILMU HUKUM,42.65,4,0,3.66,31840023,"SMA Ricci 2, Bintaro"
9,3.57E+11,12,AKUNTANSI,43.6,4,0,3.75,31734675,"SMA St. Theresia, H. Agus Salim"
10,2.09E+12,71,PENDIDIKAN DOKTER,47.75,4,0,3.15,8310001,"SMAN 1, Blitar"
11,2.09E+12,71,PENDIDIKAN DOKTER,52.4,4,0,3.4,30610002,"SMAN 5, Jayapura"
15,2.09E+12,71,PENDIDIKAN DOKTER,41.85,6,0,3.14,31862003,"SMA St. Albertus, Malang"
16,3.28E+11,11,MANAJEMEN,42.2,6,0,1.25,1320013,"SMA Global Prestasi, Kalimalang, Bekasi"
17,2.09E+12,71,PENDIDIKAN DOKTER,42.65,6,0,2.79,31713902,"SMA Tirta Marta, Pondok Indah"
18,2.09E+12,71,PENDIDIKAN DOKTER,42.75,6,0,3.3,31710207,"SMAN 70, Bulungan"
19,2.09E+12,71,PENDIDIKAN DOKTER,43.25,6,0,3.06,33320019,"SMA Global Jaya, Tangerang"
20,2.09E+12,71,PENDIDIKAN DOKTER,43.5,6,0,3.32,31840006,"SMAK Penabur Gading Serpong, Tangerang"
21,2.09E+12,71,PENDIDIKAN DOKTER,44.55,6,0,3.3,31842002,"SMA Pelita Harapan, Cikarang"
22,2.09E+12,71,PENDIDIKAN DOKTER,45.75,6,0,3.13,220002,"SMA Islam Al-Izhar, Pondok Labu"
23,2.09E+12,71,PENDIDIKAN DOKTER,45.95,6,0,3.17,31734345,"SMA Perg. Advent 1, Kramat Pulo"
24,2.09E+12,71,PENDIDIKAN DOKTER,46.2,6,0,3.3,31710084,"SMAN 28, Ragunan"
25,2.09E+12,71,PENDIDIKAN DOKTER,46.25,6,0,3.33,24420007,"SMA Islam Athirah, Makassar, Sul-Sel"
26,6.21E+11,21,TEKNIK SIPIL,46.45,6,0,1.53,30820002,"SMA Kalam Kudus, Jayapura"
